Semester,SUM CREDIT HOURS,Academic Year
Fall,99010,AY13-14
Spring,96912,AY12-13
Fall,95126,AY12-13
Spring,89936,AY13-14
Fall,88874,AY14-15
Spring,85775,AY14-15
Fall,82395,AY15-16
Spring,78650,AY15-16
Fall,70139,AY16-17
Fall,66277,AY17-18
Summer,64588,AY12-13
Spring,63256,AY16-17
Fall,62266,AY18-19
Spring,59164,AY17-18
Fall,58523,AY19-20
Fall,56225,AY20-21
Summer,55966,AY13-14
Spring,54865,AY19-20
Spring,54103,AY18-19
Fall,53815,AY21-22
Fall,51663,AY22-23 Budget
Spring,50845,AY20-21
Spring,48322,AY21-22
Summer,46429,AY14-15
Spring,46389,AY22-23 Budget
Summer,39920,AY15-16
Summer,35902,AY16-17
Summer,34056,AY17-18
Summer,29602,AY18-19
Summer,25401,AY20-21
Summer,24785,AY21-22
Summer,23794,AY22-23 Budget
Summer,23743,AY19-20
